timestamp_s,angle_deg
0.0500,0.0000
0.0540,38.4500
0.1610,38.9800
0.2710,38.9500
0.3730,39.0300
0.4840,39.0100
0.5820,38.9500
0.6850,38.9500
0.7830,38.9900
0.8850,38.9100
0.9840,38.8700
1.0900,38.8400
1.1970,38.8100
1.3030,38.7700
1.4100,38.7500
1.5120,38.8700
1.6110,39.0400
1.7210,38.9600
1.8230,38.9200
1.9340,38.8500
2.0330,38.8200
2.1350,38.7800
2.2330,38.7300
2.3360,38.7000
2.4380,38.6600
2.5450,38.6600
2.6510,38.6300
2.7620,38.6000
2.8600,38.5600
2.9620,38.5100
3.0730,38.4700
3.1710,38.4700
3.2740,38.4200
3.3720,38.3900
3.4740,38.3600
3.5730,38.3500
3.6750,38.3300
3.7730,38.3300
3.8800,38.3500
3.9860,38.3300
4.0930,38.3100
4.1990,38.3000
4.3020,38.2900
4.4000,38.2600
4.5020,38.2200
4.6130,38.1600
4.7120,38.1100
4.8140,38.0600
4.9120,37.9700
